year,region,pass_rate,model
2026,ARUSHA,96.90422699978382,Random Forest
2027,ARUSHA,97.04002631465575,Random Forest
2026,DAR ES SALAAM,89.91105791654049,Random Forest
2027,DAR ES SALAAM,90.82856740863389,Random Forest
2026,DODOMA,94.57525040544392,Random Forest
2027,DODOMA,94.65409519049464,Random Forest
2026,GEITA,96.28685395000322,Random Forest
2027,GEITA,96.36305496003357,Random Forest
2026,IRINGA,95.48593111076808,Random Forest
2027,IRINGA,95.4402659680444,Random Forest
2026,KAGERA,96.41705204612185,Random Forest
2027,KAGERA,96.38435940515934,Random Forest
2026,KASKAZINI PEMBA,90.51905849274705,Random Forest
2027,KASKAZINI PEMBA,91.05845215060396,Random Forest
2026,KASKAZINI UNGUJA,91.67413061691558,Random Forest
2027,KASKAZINI UNGUJA,92.71253680889374,Random Forest
2026,KATAVI,94.29114219512195,Random Forest
2027,KATAVI,94.43486072257072,Random Forest
2026,KIGOMA,94.46754285486536,Random Forest
2027,KIGOMA,94.38490497528365,Random Forest
2026,KILIMANJARO,96.93291933688737,Random Forest
2027,KILIMANJARO,96.7917454714114,Random Forest
2026,KUSINI PEMBA,88.27893144647467,Random Forest
2027,KUSINI PEMBA,88.03822600722518,Random Forest
2026,KUSINI UNGUJA,93.89982550781129,Random Forest
2027,KUSINI UNGUJA,94.42374846146394,Random Forest
2026,LINDI,95.23606746537459,Random Forest
2027,LINDI,94.71849685490542,Random Forest
2026,MANYARA,97.86200431430423,Random Forest
2027,MANYARA,97.78391989410545,Random Forest
2026,MARA,93.5766855381497,Random Forest
2027,MARA,93.6274483316909,Random Forest
2026,MBEYA,96.80215428735795,Random Forest
2027,MBEYA,96.77024881864973,Random Forest
2026,MJINI MAGHARIBI,91.38300749136856,Random Forest
2027,MJINI MAGHARIBI,92.09261852628532,Random Forest
2026,MOROGORO,92.82298113871329,Random Forest
2027,MOROGORO,92.72562662683167,Random Forest
2026,MTWARA,94.58282911105414,Random Forest
2027,MTWARA,94.40607065378673,Random Forest
2026,MWANZA,96.98065723549918,Random Forest
2027,MWANZA,96.90441691926674,Random Forest
2026,NJOMBE,96.08166537709468,Random Forest
2027,NJOMBE,96.05607345627688,Random Forest
2026,PWANI,93.35415428380598,Random Forest
2027,PWANI,93.74150394336793,Random Forest
2026,RUKWA,95.27903823582288,Random Forest
2027,RUKWA,95.26050236268571,Random Forest
2026,RUVUMA,95.20093514864165,Random Forest
2027,RUVUMA,95.00667297114256,Random Forest
2026,SHINYANGA,95.8167815620043,Random Forest
2027,SHINYANGA,95.58564781199846,Random Forest
2026,SIMIYU,97.1479205800241,Random Forest
2027,SIMIYU,96.84514067222861,Random Forest
2026,SINGIDA,95.08670757287429,Random Forest
2027,SINGIDA,94.92465589443539,Random Forest
2026,SONGWE,95.91235779045917,Random Forest
2027,SONGWE,95.76282209366529,Random Forest
2026,TABORA,96.34851487726398,Random Forest
2027,TABORA,96.27071862109752,Random Forest
2026,TANGA,94.35078592105141,Random Forest
2027,TANGA,94.24998621302318,Random Forest
